Facility_Name,Ownership_Type
MAMA RON PAANAKAN AND MIDWIFE CLINIC,Private
MARGUES BARANGAY HEALTH STATION,Government
MOMPONG BARANGAY HEALTH STATION,Government
NEKITAN BARANGAY HEALTH STATION,Government
SEMBA BARANGAY HEALTH STATION,Government
SKD LYING IN AND MIDWIFE CLINIC,Private
TAMBAK BARANGAY HEALTH STATION,Government
TANUEL BARANGAY HEALTH STATION,Government
TAPIAN BARANGAY HEALTH STATION,Government
TAVIRAN BARANGAY HEALTH STATION,Government
AMEROL BIRTHING HOME,Private
BONAWAN BARANGAY HEALTH STATION,Government
DAMALUSAY BARANGAY HEALTH STATION,Government
DATANG BARANGAY HEALTH STATION,Government
DATU PAGLAS RURAL HEALTH UNIT,Government
DATU PAGLAS RURAL HEALTH UNIT BIRTHING HOME,Government
EROS MEDICAL LYING IN CLINIC,Private
LOMOYON BARANGAY HEALTH STATION,Government
MADIDIS BARANGAY HEALTH STATION,Government
MAKAT BARANGAY HEALTH STATION,Government
MANGADEG BARANGAY HEALTH STATION,Government
PUYA BARANGAY HEALTH STATION,Government
WELL FAMILY MIDWIFE CLINIC BRANCH I,Private
ABPI-SAMAMA MEDICAL LYING IN CLINIC AND HOSPITAL,Private
BUAYAN BARANGAY HEALTH STATION,Government
DAMABALAS BARANGAY HEALTH STATION,Government
DATU PIANG RURAL HEALTH UNIT,Government
DATU PIANG RURAL HEALTH UNIT BIRTHING HOME,Government
DUAMINANGA BARANGAY HEALTH STATION,Government
LIONG BARANGAY HEALTH STATION,Government
MAGASLONG BARANGAY HEALTH STATION,Government
PARISA WELL FAMILY MIDWIFE CLINIC,Private
DATU SALIBO RURAL HEALTH UNIT,Government
SAMBULAWAN BARANGAY HEALTH STATION,Government
AKAS BIRTHING HOME AND CLINIC,Private
DAPIAWAN BARANGAY HEALTH STATION,Government
DATU SAUDI AMPATUAN RURAL HEALTH UNIT,Government
DATU SAUDI AMPATUAN RURAL HEALTH UNIT BIRTHING HOME,Government
"DR. G AKAS HOSPITAL, INC.",Private
ELIAN BARANGAY HEALTH STATION,Government
FATIMA BIRTHING HOME AND MIDWIVES CLINIC,Government
GAWANG BARANGAY HEALTH STATION,Government
KITANGO BARANGAY HEALTH STATION,Government
KITAPOK BARANGAY HEALTH STATION,Government
MADIA BARANGAY HEALTH STATION,Government
MONERA PAANAKAN MIDWIFE CLINIC,Private
DATU UNSAY RURAL HEALTH UNIT,Government
DATU UNSAY RURAL HEALTH UNIT BIRTHING HOME,Government
IGANAGAMPONG BARANAGAY HEALTH STATION,Government
META BARANGAY HEALTH STATION,Government
BAINON BIRTHING LYING IN CLINIC,Private
BULOD BARANGAY HEALTH STATION,Government
DATU ALI-NOR BNIRTHING LYING IN CLINIC,Private
GEN. SALIPADA K. PENDATUN RURAL HEALTH UNIT BIRTHING HOME,Government
GENERAL SALIPADA K. PENDATUN RURAL HEALTH UNIT,Government
KALADTURAN BARANGAY HEALTH STATION,Government
LASANGAN BARANGAY HEALTH STATION,Government
LOWER IDTIG BARANGAY HEALTH STATION,Government
PANOSOLEN BARANGAY HEALTH STATION,Government
PANOSOLEN BARANGAY HEALTH STATION BIRTHING HOME,Government
RAMCOR BARANGAY HEALTH STATION,Government
RAMCOR BARANGAY HEALTH STATION BIRTHING HOME,Government
SUMAKUBAY BARANGAY HEALTH STATION,Government
WELL FAMILY MIDWIFE CLINIC BRANCH III,Private
ZST BIRTHING CLINIC,Private
AHAN BARANGAY HEALTH STATION,Government
BAGAN BARANGAY HEALTH STATION,Government
GUINDULUNGAN DOCTORS HOSPITAL,Private
GUINDULUNGAN MEDICAL LYING-IN CLINIC,Private
GUINDULUNGAN RURAL HEALTH UNIT,Government
GUINDULUNGAN RURAL HEALTH UNIT BIRTHING HOME,Government
MACASAMPEN BARANGAY HEALTH STATION,Government
MACASAMPEN BIRTHING HOME AND CLINIC,Private
DADTUMEG BARANGAY HEALTH STATION,Government
KABUNTALAN RURAL HEALTH UNIT,Government
KABUNTALAN RURAL HEALTH UNIT BIRTHING HOME,Government
MAITONG BARANGAY HEALTH STATION,Government
MOTHER KABUNTALAN BARANGAY HEALTH STATION,Government
POBLACION BARANGAY HEALTH STATION,Government
LIAB BARANGAY HEALTH STATION,Government
LIBUTAN BARANGAY HEALTH STATION,Government
MAMASAPANO BARANGAY HEALTH STATION,Government
MAMASAPANO RURAL HEALTH UNIT,Government
MAMASAPANO RURAL HEALTH UNIT BIRTHING HOME,Government
PIMBALAKAN BARANGAY HEALTH STATION,Government
TUKA BARANGAY HEALTH STATION,Government
TUKANALIPAO BARANGAY HEALTH STATION,Government
MANGUDADATU RURAL HEALTH UNIT,Government
MANGUDADATU RURAL HEALTH UNIT BIRTHING HOME,Government
PANAPAN BARANGAY HEALTH STATION,Government
BAYANGA NORTE BARANGAY HEALTH STATION,Government
BAYANGA SUR BARANGAY HEALTH STATION,Government
CENTRAL LANGKONG BARANGAY HEALTH STATION,Government
KIDAMA BARANGAY HEALTH STATION,Government
LANGKONG BARANGAY HEALTH STATION,Government
MARANTAO BARANGAY HEALTH STATION,Government
MATANOG RURAL HEALTH UNIT,Government
MATANOG RURAL HEALTH UNIT BIRTHING HOME,Government
SAPAD BARANGAY HEALTH STATION,Government
DAMATOG BARANGAY HEALTH STATION,Government
GAYONGA BARANGAY HEALTH STATION,Government
GUIAWA BARANGAY HEALTH STATION,Government
INDATUAN BARANGAY HEALTH STATION,Government
NORTHERN KABUNTALAN RURAL HEALTH UNIT,Government
NORTHERN KABUNTALAN RURAL HEALTH UNIT BIRTHING HOME,Government
PAULINO LABIO BARANGAY HEALTH STATION,Government
BULIT BARANGAY HEALTH STATION,Government
DATU MONTAWAL RURAL HEALTH UNIT,Government
DATU MONTAWAL RURAL HEALTH UNIT BIRTHING HOME,Government
DUNGGUAN BARANGAY HEALTH STATION,Government
LIMBALOD BARANGAY HEALTH STATION,Government
PAGAGAWAN BARANGAY HEALTH STATION,Government
TALITAY BARANGAY HEALTH STATION,Government
GALAKIT BARANGAY HEALTH STATION,Government
LAYOG BARANGAY HEALTH STATION,Government
PAGALUNGAN RURAL HEALTH UNIT,Government
PAGALUNGAN RURAL HEALTH UNIT BIRTHING HOME,Government
POBLACION BARANGAY HEALTH STATION,Government
KAKAL BARANGAY HEALTH STATION,Government
PAGLAT RURAL HEALTH UNIT,Government
PAGLAT RURAL HEALTH UNIT BIRTHING HOME,Government
SALAM BARANGAY HEALTH STATION,Government
TUAL BARANGAY HEALTH STATION,Government
TUAL BARANGAY HEALTH STATION BIRTHING HOME,Government
KABULING BARANGAY HEALTH STATION,Government
KAYAGA BARANGAY HEALTH STATION,Government
LEPAK BARANGAY HEALTH STATION,Government
PANDAG RURAL HEALTH UNIT,Government
PANDAG RURAL HEALTH UNIT BIRTHING HOME,Government
UPPER DILAG BARANGAY HEALTH STATION,Government
BARANGAY MAKING BIRTHING CENTER,Private
CABUAN BARANGAY HEALTH STATION,Government
CALAWAG BARANGAY HEALTH STATION,Government
CAMP BRIG. GEN. SALIPADALA K. PENDATUN HOSPITAL,Government
DEVILLES-AGTARAP MATERNAL HEALTH CARE AND LYING IN CLINIC,Private
DOC RBM LYING-IN AND OB-GYNE CLINIC,Private
GADUNGAN BARANGAY HEALTH STATION,Government
IRANON DISTRICT HOSPITAL,Government
LITAYEN BARANGAY HEALTH STATION,Government
MACASANDAG BARANGAY HEALTH STATION,Government
MAGSAYSAY BARANGAY HEALTH STATION,Government
MAKING BARANGAY HEALTH STATION,Government
MONIB WELL FAMILY MIDWIFE CLINIC,Private
NITUAN BARANGAY HEALTH STATION,Government
ORANDANG BARANGAY HEALTH STATION,Government
PARANG MEDICAL DIAGNOSTIC LABORATORY,Private
PARANG RURAL HEALTH UNIT,Government
PARANG RURAL HEALTH UNIT BIRTHING HOME,Government
POBLACION II BARANGAY HEALTH STATION,Government
POLLOC BARANGAY HEALTH STATION,Government
SAFRAH BIRTHING CLINIC,Private
SARMIENTO BARANGAY HEALTH STATION,Government
TAGUDTUNGAN BARANGAY HEALTH STATION,Government
TUCA - MAROR BARANGAY HEALTH STATION,Government
ZUELLIG FAMILY FOUNDATION BIRTHING CENTER,Private
BAILABI BIRTHING LYING IN CLINIC,Private
BAITUL WILADAH BIRTHING CLINIC,Private
BAKAT BARANGAY HEALTH STATION,Government
MILEB BARANGAY HEALTH STATION,Government
PIDSANDAWAN BARANGAY HEALTH STATION,Government
RAJAH BUAYAN RURAL HEALTH UNIT,Government
RAJAH BUAYAN RURAL HEALTH UNIT BIRTHING HOME,Government
SAMPAO BARANGAY HEALTH STATION,Government
KULOY BARANGAY HEALTH STATION,Government
LABULABU BARANGAY HEALTH STATION,Government
LAPOK BARANGAY HEALTH STATION,Government
SHARIFF AGUAK RURAL HEALTH UNIT,Government
SHARIFF AGUAK RURAL HEALTH UNIT BIRTHING HOME,Government
SULAIK CLINIC AND HOSPITAL,Private
TIMBANGON MIDWIFE CLINIC,Private
BANGSAMORO MATERNITY AND BIRTHING CLINIC,Private
PAMALIAN BARANGAY HEALTH STATION,Government
PIKEG BARANGAY HEALTH STATION,Government
SHARIFF SAYDONA MUSTAPHA RURAL HEALTH UNIT,Government
SHARIFF SAYDONA MUSTAPHA RURAL HEALTH UNIT BIRTHING HOME,Government
BONGO BARANGAY HEALTH STATION,Government
ITAW BARANGAY HEALTH STATION,Government
KIGAN BARANGAY HEALTH STATION,Government
KUYA BARANGAY HEALTH STATION,Government
LOOY BARANGAY HEALTH STATION,Government
PANDAN BARANGAY HEALTH STATION,Government
PILAR BARANGAY HEALTH STATION,Government
SAN JOSE BARANGAY HEALTH STATION,Government
SOUTH UPI MUNICIPAL HOSPITAL,Government
SOUTH UPI RURAL HEALTH UNIT,Government
SOUTH UPI RURAL HEALTH UNIT BIRTHING HOME,Government
ALAMADA BARANGAY HEALTH STATION,Government
AMANAH BIRTHING CLINIC AND MEDICAL SERVICES,Private
BANATIN BARANGAY HEALTH STATION,Government
BULALO BARANGAY HEALTH STATION,Government
CALSADA BARANGAY HEALTH STATION,Government
COTABATO SANITARIUM AND GENERAL HOSPITAL,Government
COTABATO SANITARIUM AND GENERAL HOSPITAL (CSGH) BUCAS CENTER,Government
CROSSING SIMUAY BARANGAY HEALTH STATION,Government
DALUMANGCOB BARANGAY HEALTH STATION,Government
DAMANIOG BARANGAY HEALTH STATION,Government
DARAPANAN BARANGAY HEALTH STATION,Government
GANG BARANGAY HEALTH STATION,Government
IBOTEGEN BARANGAY HEALTH STATION,Government
KAKAR BARANGAY HEALTH STATION,Government
KATIDTUAN BARANGAY HEALTH STATION,Government
LADIA BARANGAY HEALTH STATION,Government
LIMBO BARANGAY HEALTH STATION,Government
MAIDAPA BARANGAY HEALTH STATION,Government
MAKAGUILING BARANGAY HEALTH STATION,Government
MULAOG BARANGAY HEALTH STATION,Government
NARA BARANGAY HEALTH STATION,Government
PAANAKAN NI DOK AND MATERNAL CARE CLINIC,Private
PIGCALAGAN BARANGAY HEALTH STATION,Government
PINARING BARANGAY HEALTH STATION,Government
REBUKEN BARANGAY HEALTH STATION,Government
SALIMBAO BARANGAY HEALTH STATION,Government
SAMBOLAWAN BARANGAY HEALTH STATION,Government
SULTAN KUDARAT RURAL HEALTH UNIT,Government
SULTAN KUDARAT RURAL HEALTH UNIT BIRTHING HOME,Government
BALUT BARANGAY HEALTH STATION,Government
BOLIOK BARANGAY HEALTH STATION,Government
BONGABONG BARANGAY HEALTH STATION,Government
DAGURUNGAN BARANGAY HEALTH STATION,Government
KIRKIR BARANGAY HEALTH STATION,Government
MACABISO BARANGAY HEALTH STATION,Government
NAMUKEN BARANGAY HEALTH STATION,Government
SIMUAY SEASHORE BARANGAY HEALTH STATION,Government
SOLON BARANGAY HEALTH STATION,Government
SULTAN MASTURA RURAL HEALTH UNIT,Government
SULTAN MASTURA RURAL HEALTH UNIT BIRTHING HOME,Government
TAMBO BARANGAY HEALTH STATION,Government
TARIKEN BARANGAY HEALTH STATION,Government
TUKA BARANGAY HEALTH STATION,Government
ANGKAYAMAT BARANGAY HEALTH STATION,Government
BULOD BARANGAY HEALTH STATION,Government
GADUNGAN BARANGAY HEALTH STATION,Government
KULAMBOG BARANGAY HEALTH STATION,Government
PALDONG BARANGAY HEALTH STATION,Government
PAPAKAN BARANGAY HEALTH STATION,Government
ROHANNA BIRTHING  LYING-IN CLINIC AND HOSPITAL,Private
SAKILAN BIRTHING HOME AND LYING-IN CLINIC,Private
SULTAN SA BARONGIS RURAL HEALTH UNIT,Government
SULTAN SA BARONGIS RURAL HEALTH UNIT BIRTHING HOME,Government
TUKANAKUDEN BARANGAY HEALTH STATION,Government
BINANGGA NORTH BARANGAY HEALTH STATION,Government
DAMABLAC BARANGAY HEALTH STATION,Government
KATIBPUAN BARANGAY HEALTH STATION,Government
KIDATE BARANGAY HEALTH STATION,Government
LINAMUNAN BARANGAY HEALTH STATION,Government
NORJHALIL BIRTHING HOME AND MIDWIFE CLINIC,Private
TALAYAN RURAL HEALTH UNIT,Government
TALAYAN RURAL HEALTH UNIT BIRTHING HOME,Government
TAMAR BARANGAY HEALTH STATION,Government
KUDEN BARANGAY HEALTH STATION,Government
MANGGAY BARANGAY HEALTH STATION,Government
TALITAY RURAL HEALTH UNIT,Government
TALITAY RURAL HEALTH UNIT BIRTHING HOME,Government
BLENSONG BARANGAY HEALTH STATION,Government
BORONGOTAN BARANGAY HEALTH STATION,Government
BUGABUNGAN BARANGAY HEALTH STATION,Government
BUNGCOG BARANGAY HEALTH STATION,Government
DARUGAO BARANGAY HEALTH STATION,Government
DATU BLAH T. SINSUAT DISTRICT HOSPITAL,Government
KABAKABA BARANGAY HEALTH STATION,Government
KIBLEG BARANGAY HEALTH STATION,Government
KIBUCAY BARANGAY HEALTH STATION,Government
KIGA BARANGAY HEALTH STATION,Government
KINITAAN BARANGAY HEALTH STATION,Government
KINITAAN BIRTHING CLINIC,Government
MIRAB BARANGAY HEALTH STATION,Government
NANGI BARANGAY HEALTH STATION,Government
NANGI BIRTHING CLINIC,Government
NORTH UPI RURAL HEALTH UNIT BIRTHING HOME,Government
RANAO PILAYAN BARANGAY HEALTH STATION,Government
REMPES BARANGAY HEALTH STATION,Government
RENEDE BARANGAY HEALTH STATION,Government
SEFEGEFEN BARANGAY HEALTH STATION,Government
TINUNGKAAN BARANGAY HEALTH STATION,Government
UPI AMBULATORY HEALTH CARE CENTER,Private
UPI RURAL HEALTH UNIT,Government
CENTRAL LABAS BARANGAY HEALTH STATION,Government
KADAYANGAN RURAL HEALTH UNIT,Government
KAPINPILAN BARANGAY HEALTH STATION,Government
MALINGAO BARANGAY HEALTH STATION,Government
MUDSENG BARANGAY HEALTH STATION,Government
SAMBULAWAN BARANGAY HEALTH STATION,Government
TUGAL BARANGAY HEALTH STATION,Government
TUMBRAS BARANGAY HEALTH STATION,Government
KAPALAWAN RURAL HEALTH UNIT,Government
KIB-AYAO BARANGAY HEALTH STATION,Government
KITULAAN BARANGAY HEALTH STATION,Government
LANGOGAN BARANGAY HEALTH STATION,Government
MANARAPAN BARANGAY HEALTH STATION,Government
NASAPIAN BARANGAY HEALTH STATION,Government
PEBPOLOAN BARANGAY HEALTH STATION,Government
TUPIG BARANGAY HEALTH STATION,Government
BAGOINGED BARANGAY HEALTH STATION,Government
GLIGLI BARANGAY HEALTH STATION,Government
KABASALAN BARANGAY HEALTH STATION,Government
LIGAWSAN RURAL HEALTH UNIT,Government
RAJAH MUDA BARANGAY HEALTH STATION,Government
BALUNGIS BARANGAY HEALTH STATION,Government
BATULAWAN BARANGAY HEALTH STATION,Government
MALIDEGAO RURAL HEALTH UNIT,Government
NABUNDAS BARANGAY HEALTH STATION,Government
NALAPAAN BARANGAY HEALTH STATION,Government
NUNGUAN BARANGAY HEALTH STATION,Government
PIKIT RURAL HEALTH UNIT,Government
DAMATULAN BARANGAY HEALTH STATION,Government
DUNGUAN BARANGAY HEALTH STATION,Government
KADIGASAN BARANGAY HEALTH STATION,Government
KADINGILAN BARANGAY HEALTH STATION,Government
KUDARANGAN BARANGAY HEALTH STATION,Government
NABALAWAG BARANGAY HEALTH STATION,Government
NABALAWAG RURAL HEALTH UNIT,Government
OLANDANG BARANGAY HEALTH STATION,Government
BULUAN BARANGAY HEALTH STATION,Government
NANGA-AN BARANGAY HEALTH STATION,Government
OLD KAABAKAN RURAL HEALTH UNIT,Government
PEDTAD BARANGAY HEALTH STATION,Government
SANGGADONG BARANGAY HEALTH STATION,Government
SIMBUHAY BARANGAY HEALTH STATION,Government
SIMONE BARANGAY HEALTH STATION,Government
TAMPED BARANGAY HEALTH STATION,Government
BALACAYON BARANGAY HEALTH STATION,Government
BURICAIN BARANGAY HEALTH STATION,Government
DATU BINASING BARANGAY HEALTH STATION,Government
DATU MANTIL BARANGAY HEALTH STATION,Government
KADINGILAN BARANGAY HEALTH STATION,Government
LIBUNGAN TORRETA BARANGAY HEALTH STATION,Government
LOWER BAGUER BARANGAY HEALTH STATION,Government
LOWER PANGANKALAN BARANGAY HEALTH STATION,Government
MATILAK BARANGAY HEALTH STATION,Government
PAHAMUDDIN RURAL HEALTH UNIT,Government
PATOT BARANGAY HEALTH STATION,Government
SIMSIMAN BARANGAY HEALTH STATION,Government
UPPER PANGANKALAN BARANGAY HEALTH STATION,Government
AKHIRAH BIRTHING HOME,Private
LAGUNDE BARANGAY HEALTH STATION,Government
MANAULANAN BARANGAY HEALTH STATION,Government
PAMALIAN BARANGAY HEALTH STATION,Government
PANICUPAN BARANGAY HEALTH STATION,Government
TAPODOC BARANGAY HEALTH STATION,Government
TUGUNAN RURAL HEALTH UNIT,Government
BANGAS RURAL HEALTH UNIT BIRTHING HOME,Government
HADJI PANGLIMA TAHIL (BANGAS) RURAL HEALTH UNIT,Government
KABUCAN BARANGAY HEALTH STATION,Government
PAG-ASINAN BARANGAY HEALTH STATION,Government
BUNUT BARANGAY HEALTH STATION,Government
BUWANSA BARANGAY HEALTH STATION,Government
INDANAN RURAL HEALTH UNIT,Government
INDANAN RURAL HEALTH UNIT BIRTHING HOME,Government
KAJATIAN BARANGAY HEALTH STATION,Government
LICUP BARANGAY HEALTH STATION,Government
PANABUAN BARANGAY HEALTH STATION,Government
PASIL BARANGAY HEALTH STATION,Government
POBLACION BARANGAY HEALTH STATION,Government
TAGBAK BARANGAY HEALTH STATION,Government
TIMBANGAN BARANGAY HEALTH STATION,Government
ALAT BARANGAY HEALTH STATION,Government
BUS-BUS BARANGAY HEALTH STATION,Government
CAMP TEODULFO BAUTISTA STATION HOSPITAL,Government
CHINESE PIER BARANGAY HEALTH STATION,Government
JOLO RURAL HEALTH UNIT,Government
JOLO RURAL HEALTH UNIT BIRTHING HOME,Government
MARTIREZ BARANGAY HEALTH STATION,Government
PLUS CARE DIAGNOSTIC LABORATORY,Private
SULU MEDICAL SPECIALISTS HOSPITAL,Private
SULU PROVINCIAL HOSPITAL,Government
SULU PROVINCIAL HOSPITAL,Government
SULU SANITARIUM AND GENERAL HOSPITAL,Government
TULAY BARANGAY HEALTH STATION,Government
WALLED CITY BARANGAY HEALTH STATION,Government
KALINGALAN CALUANG RURAL HEALTH UNIT,Government
KALINGALAN CALUANG RURAL HEALTH UNIT BIRTHING HOME,Government
KANLAGAY BARANGAY HEALTH STATION,Government
KARUNDONG BARANGAY HEALTH STATION,Government
PANG BARANGAY HEALTH STATION,Government
PANGDAN PANGDAN BARANGAY HEALTH STATION,Government
TUNGGOL BARANGAY HEALTH STATION,Government
BAS LUGUS BARANGAY HEALTH STATION,Government
LUGUS RURAL HEALTH UNIT,Government
LUGUS RURAL HEALTH UNIT BIRTHING HOME,Government
MANTAN BARANGAY HEALTH STATION,Government
PARIAN KAYAWAN BARANGAY HEALTH STATION,Government
BUAL BARANGAY HEALTH STATION,Government
KAN MINDUS BARANGAY HEALTH STATION,Government
KAN-BULAK BARANGAY HEALTH STATION,Government
LINGAH BARANGAY HEALTH STATION,Government
LUUK DISTRICT HOSPITAL,Government
LUUK RURAL HEALTH UNIT,Government
LUUK RURAL HEALTH UNIT BIRTHING HOME,Government
TULAYAN BARANGAY HEALTH STATION,Government
BATO UGIS BARANGAY HEALTH STATION,Government
BUALO LIPID BARANGAY HEALTH STATION,Government
GULANGAN BARANGAY HEALTH STATION,Government
KANDANG BARANGAY HEALTH STATION,Government
KULASI BARANGAY HEALTH STATION,Government
LABAH BARANGAY HEALTH STATION,Government
LAPA BARANGAY HEALTH STATION,Government
MAIMBUNG DISTRICT HOSPITAL,Government
MAIMBUNG RURAL HEALTH UNIT,Government
MAIMBUNG RURAL HEALTH UNIT BIRTHING HOME,Government
MATATAL BARANGAY HEALTH STATION,Government
TANDU PATONG BARANGAY HEALTH STATION,Government
KAN ASAALI BARANGAY HEALTH STATION,Government
KANSIPAT BARANGAY HEALTH STATION,Government
KULAY KULAY BARANGAY HEALTH STATION,Government
PANAMAO DISTRICT HOSPITAL,Government
SEIT POBLACION BARANGAY HEALTH STATION,Government
SU-UH BARANGAY HEALTH STATION,Government
SU-UH RURAL HEALTH UNIT,Government
TABUH MANOK BARANGAY HEALTH STATION,Government
UPPER PATIBULAN BARANGAY HEALTH STATION,Government
ANDALAN BARANGAY HEALTH STATION,Government
ANGILAN BARANGAY HEALTH STATION,Government
CAPUAL BARANGAY HEALTH STATION,Government
HUWIT-HUWIT BARANGAY HEALTH STATION,Government
NIANGKAAN BARANGAY HEALTH STATION,Government
OMAR RURAL HEALTH UNIT,Government
OMAR RURAL HEALTH UNIT BIRTHING HOME,Government
SUCUBAN BARANGAY HEALTH STATION,Government
TANGKUAN BARANGAY HEALTH STATION,Government
LAPAK BARANGAY HEALTH STATION,Government
MANUBOL BARANGAY HEALTH STATION,Government
PANDAMI RURAL HEALTH UNIT,Government
SIGANGGANG BARANGAY HEALTH STATION,Government
SUBA SUBA BARANGAY HEALTH STATION,Government
GATA-GATA BARANGAY HEALTH STATION,Government
KAMIH-PUNGUD BARANGAY HEALTH STATION,Government
LIKBAH BARANGAY HEALTH STATION,Government
LUBUK-LUBUK BARANGAY HEALTH STATION,Government
PAIKSAH BARANGAY HEALTH STATION,Government
PANDAKAN BARANGAY HEALTH STATION,Government
PANGLIMA ESTINO RURAL HEALTH UNIT,Government
PUNAY BARANGAY HEALTH STATION,Government
TIPTIPON BARANGAY HEALTH STATION,Government
BANGKILAY BARANGAY HEALTH STATION,Government
KAWITAN BARANGAY HEALTH STATION,Government
KEHI NIOG BARANGAY HEALTH STATION,Government
LUMAH DAPDAP BARANGAY HEALTH STATION,Government
PANDAN NIOG RURAL HEALTH UNIT,Government
PANDUCAN BARANGAY HEALTH STATION,Government
PANGUTARAN RURAL HEALTH UNIT,Government
PANGUTARAN RURAL HEALTH UNIT BIRTHING HOME,Government
PATUTOL BARANGAY HEALTH STATION,Government
SUANG BUNAH BARANGAY HEALTH STATION,Government
TONGGASANG BARANGAY HEALTH STATION,Government
TUBIG NONOK BARANGAY HEALTH STATION,Government
TUBIG SALLANG BARANGAY HEALTH STATION,Government
ALU LAYAG RURAL HEALTH UNIT,Government
ALU PANGKOH BARANGAY HEALTH STATION,Government
KAHA BARANGAY HEALTH STATION,Government
LIPUNUS BARANGAY HEALTH STATION,Government
LUMBAAN MAHABAH BARANGAY HEALTH STATION,Government
PARANG DISTRICT HOSPITAL,Government
PARANG RURAL HEALTH UNIT,Government
PARANG RURAL HEALTH UNIT BIRTHING HOME,Government
PARANG RURAL HEALTH UNIT BIRTHING HOME,Government
SALDANG BARANGAY HEALTH STATION,Government
SILANGKAN BARANGAY HEALTH STATION,Government
TUMANGAS BARANGAY HEALTH STATION,Government
KAMAWI BARANGAY HEALTH STATION,Government
PATA RURAL HEALTH UNIT,Government
PATA RURAL HEALTH UNIT BIRTHING HOME,Government
SAIMBANGON BARANGAY HEALTH STATION,Government
SANGKAP HIGAD BARANGAY HEALTH STATION,Government
BONBON BARANGAY HEALTH STATION,Government
